CMA_name,CT_ID_NUM,GEO_ID,Population
Toronto,5350311.05,5350311.05,6576.00
Toronto,5350311.06,5350311.06,5695.00
Toronto,5350312.02,5350312.02,3624.00
Toronto,5350312.03,5350312.03,6518.00
Toronto,5350312.04,5350312.04,5930.00
Toronto,5350312.05,5350312.05,3803.00
Toronto,5350312.06,5350312.06,3626.00
Toronto,5350312.07,5350312.07,3226.00
Toronto,5350313,5350313,5496.00
Toronto,5350314.01,5350314.01,5055.00
Toronto,5350314.02,5350314.02,5302.00
Toronto,5350315.01,5350315.01,3333.00
Toronto,5350315.02,5350315.02,3666.00
Toronto,5350315.03,5350315.03,5526.00
Toronto,5350316.01,5350316.01,4023.00
Toronto,5350316.03,5350316.03,5761.00
Toronto,5350316.04,5350316.04,4415.00
Toronto,5350316.05,5350316.05,4148.00
Toronto,5350316.06,5350316.06,3710.00
Toronto,5350317.02,5350317.02,7215.00
Toronto,5350317.03,5350317.03,3665.00
Toronto,5350317.04,5350317.04,6016.00
Toronto,5350317.05,5350317.05,2227.00
Toronto,5350318,5350318,8371.00
Toronto,5350319,5350319,4168.00
Toronto,5350320.01,5350320.01,4813.00
Toronto,5350320.02,5350320.02,5700.00
Toronto,5350321.01,5350321.01,3839.00
Toronto,5350321.02,5350321.02,4128.00
Toronto,5350322.01,5350322.01,4917.00
Toronto,5350322.02,5350322.02,3539.00
Toronto,5350323.01,5350323.01,4102.00
Toronto,5350323.02,5350323.02,5624.00
Toronto,5350324.01,5350324.01,3804.00
Toronto,5350324.02,5350324.02,6458.00
Toronto,5350324.03,5350324.03,4098.00
Toronto,5350324.05,5350324.05,3488.00
Toronto,5350324.06,5350324.06,3612.00
Toronto,5350330,5350330,4240.00
Toronto,5350331.01,5350331.01,5576.00
Toronto,5350331.03,5350331.03,5912.00
Toronto,5350331.04,5350331.04,3224.00
Toronto,5350332,5350332,7473.00
Toronto,5350333,5350333,4774.00
Toronto,5350334,5350334,3593.00
Toronto,5350335,5350335,7336.00
Toronto,5350336,5350336,6691.00
Toronto,5350337,5350337,2933.00
Toronto,5350338,5350338,5639.00
Toronto,5350339,5350339,6593.00
Toronto,5350340,5350340,6541.00
Toronto,5350341.02,5350341.02,3992.00
Toronto,5350341.03,5350341.03,5073.00
Toronto,5350341.04,5350341.04,4432.00
Toronto,5350342,5350342,6407.00
Toronto,5350343,5350343,4075.00
Toronto,5350344.01,5350344.01,5038.00
Toronto,5350344.02,5350344.02,3452.00
Toronto,5350345,5350345,3680.00
